date,name,count,group.max,group.ge10,group.ge12,group.ge15,group.ge20,group.top,row.max,row.ge10,row.ge12,row.ge15,row.ge20,row.top,col6.max,col6.ge30,col6.ge50,col6.top,col3.max,col3.ge30,col3.ge50,col3.ge80,col3.top,number.max,number.ge200,number.ge300,number.top
2018-11-27,wzs-2018-11-27-012,292,21,6,3,1,1,二组 21 #194-215,16,6,4,2,0,1行 16 #215-231,32,4,0,13-18 32 #106-138,51,23,2,0,13-15 51 #184-235,153,0,0,27 153 #50-203
2018-11-27,wzs-2018-11-27-014,326,13,6,5,0,0,二组 13 #38-51,12,6,1,0,0,2行 12 #138-150,38,3,0,22-27 38 #87-125,81,20,3,1,10-12 81 #86-167,212,1,0,31 212 #79-291
2019-01-16,20181129-01,489,23,13,7,2,1,一组 23 #195-218,27,10,5,2,1,2行 27 #123-150,48,4,0,1-6 48 #174-222,73,35,7,0,4-6 73 #152-225,244,3,0,29 244 #169-413
2019-01-16,20181129-02,44,11,2,0,0,0,二组 11 #15-26,10,1,0,0,0,3行 10 #15-25,23,0,0,7-12 23 #1-24,33,2,0,0,34-36 33 #0-33,44,0,0,0 44 未结束 #0-44
2019-01-16,20181130-01,29,6,0,0,0,0,一组 6 #1-7,8,0,0,0,0,2行 8 未结束 #21-29,17,0,0,16-21 17 #0-17,23,0,0,0,22-24 23 未结束 #6-29,29,0,0,0 29 未结束 #0-29
2019-01-16,20181130-02,130,9,0,0,0,0,一组 9 #97-106,11,3,0,0,0,2行 11 #16-27,36,3,0,22-27 36 #3-39,51,12,1,0,7-9 51 未结束 #79-130,115,0,0,20 115 未结束 #15-130
2019-01-28,wzs-2019-01-28-024,234,13,5,4,0,0,二组 13 #11-24,12,6,1,0,0,2行 12 #21-33,34,1,0,31-36 34 #0-34,56,15,2,0,1-3 56 #146-202,145,0,0,1 145 未结束 #89-234
2019-01-28,wzs-2019-01-28-026,134,13,2,2,0,0,三组 13 #41-54,13,4,1,0,0,2行 13 #48-61,28,0,0,25-30 28 #55-83,50,11,1,0,25-27 50 #41-91,134,0,0,9 134 未结束 #0-134
2019-01-28,wzs-2019-01-28-028,167,19,5,2,2,0,二组 19 #3-22,11,1,0,0,0,1行 11 #34-45,50,1,1,25-30 50 #112-162,74,11,3,0,7-9 74 #17-91,162,0,0,25 162 #0-162
2019-01-28,wzs-2019-01-28-029,142,13,1,1,0,0,二组 13 #112-125,13,4,1,0,0,3行 13 #9-22,28,0,0,1-6 28 未结束 #114-142,61,7,2,0,7-9 61 #62-123,142,0,0,19 142 未结束 #0-142
2019-01-28,20190129-sxr01,206,12,2,1,0,0,二组 12 #101-113,14,6,2,0,0,3行 14 #176-190,31,1,0,22-27 31 #45-76,85,16,1,1,16-18 85 #7-92,152,0,0,7 152 未结束 #54-206
2019-01-29,20190129-01,209,15,4,3,1,0,三组 15 #11-26,12,6,3,0,0,1行 12 #89-101,32,3,0,16-21 32 #42-74,58,14,2,0,10-12 58 #68-126,202,1,0,23 202 #0-202
2019-01-29,20190129-1537,65,10,1,0,0,0,三组 10 #0-10,9,0,0,0,0,1行 9 #55-64,24,0,0,28-33 24 #0-24,38,4,0,0,10-12 38 #26-64,65,0,0,3 65 未结束 #0-65
2019-01-29,20190129-1743,96,9,0,0,0,0,三组 9 #6-15,11,1,0,0,0,3行 11 #59-70,20,0,0,16-21 20 #14-34,35,3,0,0,28-30 35 #3-38,96,0,0,0 96 未结束 #0-96
2019-01-29,20190129-2328,46,11,1,0,0,0,一组 11 未结束 #35-46,17,2,2,2,0,2行 17 #21-38,21,0,0,31-36 21 #17-38,37,1,0,0,1-3 37 未结束 #9-46,46,0,0,0 46 未结束 #0-46
2019-01-29,20190130-0101,80,13,2,2,0,0,三组 13 #66-79,11,1,0,0,0,3行 11 #16-27,21,0,0,31-36 21 #58-79,58,5,1,0,19-21 58 #6-64,80,0,0,2 80 未结束 #0-80
2019-01-30,20190130-1155,83,9,0,0,0,0,一组 9 #46-55,10,1,0,0,0,1行 10 #69-79,27,0,0,1-6 27 #5-32,43,8,0,0,25-27 43 未结束 #40-83,83,0,0,25 83 未结束 #0-83
2019-01-30,20190130-wzs01,155,12,6,3,0,0,三组 12 #17-29,13,4,1,0,0,3行 13 #82-95,29,0,0,25-30 29 #0-29,57,9,3,0,19-21 57 #47-104,142,0,0,21 142 未结束 #13-155
2019-01-30,20190130-1458,41,13,2,1,0,0,一组 13 #10-23,11,2,0,0,0,1行 11 #13-24,24,0,0,7-12 24 #0-24,38,1,0,0,7-9 38 #0-38,41,0,0,0 41 未结束 #0-41
2019-01-30,20190130-1613,94,10,2,0,0,0,三组 10 #12-22,13,2,1,0,0,3行 13 #51-64,45,3,0,10-15 45 #37-82,57,9,2,0,13-15 57 未结束 #37-94,94,0,0,4 94 未结束 #0-94
2019-01-30,20190131-0030,96,10,1,0,0,0,二组 10 #75-85,10,1,0,0,0,3行 10 #53-63,35,3,0,16-21 35 #50-85,46,9,0,0,25-27 46 #22-68,96,0,0,14 96 未结束 #0-96
2019-01-31,20190131-1144,141,17,3,2,1,0,二组 17 未结束 #124-141,12,3,2,0,0,2行 12 #45-57,33,1,0,13-18 33 #4-37,77,4,2,0,31-33 77 #25-102,141,0,0,18 141 未结束 #0-141
2019-01-31,20190131-1626,61,17,2,1,1,0,三组 17 #25-42,8,0,0,0,0,1行 8 #5-13,32,1,0,31-36 32 #25-57,50,5,1,0,31-33 50 未结束 #11-61,61,0,0,5 61 未结束 #0-61
2019-01-31,20190131-1757,91,11,2,0,0,0,二组 11 #46-57,10,1,0,0,0,1行 10 #6-16,37,2,0,22-27 37 #9-46,56,6,1,0,22-24 56 #9-65,91,0,0,27 91 未结束 #0-91
2019-01-31,20190201-0037,108,14,4,2,0,0,一组 14 #82-96,15,4,3,1,0,3行 15 #27-42,44,2,0,4-9 44 未结束 #64-108,88,6,2,1,4-6 88 未结束 #20-108,103,0,0,34 103 #0-103
2019-03-29,20190329-2043,37,11,1,0,0,0,二组 11 #20-31,10,1,0,0,0,2行 10 #26-36,22,0,0,31-36 22 #0-22,30,1,0,0,13-15 30 未结束 #7-37,37,0,0,8 37 未结束 #0-37
2019-03-29,20190329-下午全,330,16,7,4,2,0,二组 16 #306-322,12,4,1,0,0,3行 12 #58-70,33,2,0,31-36 33 #269-302,62,24,1,0,34-36 62 #181-243,190,0,0,22 190 #35-225
2019-03-29,20190329-一个人,59,11,2,0,0,0,三组 11 #0-11,10,1,0,0,0,1行 10 #47-57,29,0,0,4-9 29 #8-37,47,1,0,0,4-6 47 #0-47,59,0,0,3 59 未结束 #0-59
2019-03-29,20190330-0239,146,12,4,1,0,0,一组 12 #44-56,9,0,0,0,0,3行 9 #12-21,31,1,0,28-33 31 #74-105,53,9,1,0,19-21 53 #39-92,146,0,0,8 146 未结束 #0-146
2019-03-30,20190330-上午全,371,20,7,5,2,1,一组 20 #52-72,16,9,4,2,0,2行 16 #39-55,51,3,1,31-36 51 #101-152,79,26,6,0,13-15 79 #182-261,245,1,0,24 245 未结束 #126-371
2019-03-30,20190330-下午全,225,12,2,1,0,0,三组 12 #204-216,15,7,4,1,0,3行 15 #141-156,27,0,0,22-27 27 #149-176,49,15,0,0,10-12 49 #0-49,168,0,0,33 168 未结束 #57-225
2019-03-30,20190330-一个人,58,8,0,0,0,0,一组 8 #47-55,8,0,0,0,0,2行 8 #3-11,26,0,0,25-30 26 未结束 #32-58,34,2,0,0,7-9 34 #0-34,58,0,0,1 58 未结束 #0-58
2019-03-31,20190331-上午,277,18,7,3,1,0,三组 18 #14-32,12,2,1,0,0,2行 12 #260-272,42,3,0,7-12 42 #179-221,73,19,6,0,13-15 73 #85-158,182,0,0,33 182 #83-265
2019-03-31,20190331-假日,106,19,2,1,1,0,一组 19 #74-93,10,1,0,0,0,1行 10 #51-61,34,1,0,1-6 34 #59-93,81,7,2,1,22-24 81 未结束 #25-106,106,0,0,12 106 未结束 #0-106
2019-03-31,20190331-下午,81,11,2,0,0,0,二组 11 #18-29,13,2,1,0,0,3行 13 #33-46,20,0,0,31-36 20 #54-74,62,3,1,0,4-6 62 未结束 #19-81,81,0,0,4 81 未结束 #0-81
2019-04-01,20190401-清晨,156,9,0,0,0,0,三组 9 #60-69,13,3,2,0,0,3行 13 #139-152,30,1,0,31-36 30 #28-58,48,11,0,0,22-24 48 #53-101,136,0,0,2 136 #0-136
